id,titulo,tipo,tiposFonte,fonteTitulo,ano_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,researcherIds,organizacoes,linkRegistro,linkReferencias,linkRelacionados,citacoes,issn,isbn,doi,keywordsAutor,orcids_autores,departamento,autores,origem,financiador,repositorioIPBeja,apoiosPublicaçao
WOS:000942065200001,"Analyzing Green Behavior and the Rational Use of Water in Portuguese Higher Education Campi",Article,Article,SUSTAINABILITY,2023,15,4,undefined,undefined,undefined,16,"B-2437-2012, FXY-0217-2022, M-6997-2013, N-1157-2013, H-5115-2019, HPD-4716-2023, F-4690-2014, IWQ-8923-2023, N-1763-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000942065200001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000942065200001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000942065200001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,undefined,undefined,10.3390/su15043035,"higher education institutions, SDG, sustainability, water efficiency, water use",0000-0001-9069-2554,Engenharia,"Anabela Cândida Ramalho Durão",WBS,N/A,N/A,N/A
WOS:001257365300001,"Higher Education Institutions' Students' Literacy in Sustainable Use of Potable Water",Article,Article,SUSTAINABILITY,2024,16,12,undefined,undefined,undefined,21,"B-2437-2012, FXY-0217-2022, M-6997-2013, N-1157-2013, H-5115-2019, HPD-4716-2023, E-6382-2011, N-1763-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:001257365300001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:001257365300001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:001257365300001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,undefined,undefined,10.3390/su16125217,"education institutions, SDGs, sustainability, water efficiency, water use",0000-0001-9069-2554,Engenharia,"Anabela Cândida Ramalho Durão",WBS,N/A,N/A,N/A
WOS:000167942600013,"Human placenta hydrolases active on free ADP-ribose: an ADP-sugar pyrophosphatase and a specific ADP-ribose pyrophosphatase",Article,Article,"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS",2001,1526,1,86-94,86,94,9,"K-6555-2014, CJB-2453-2022, K-7394-2014, K-6421-2014",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000167942600013&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000167942600013&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000167942600013&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0304-4165,undefined,10.1016/S0304-4165(01)00113-1,"adenosine diphosphate ribose, adenosine diphosphate ribose pyrophosphatase adenosine diphosphate sugar pyrophosphatase, sugar nucleotide, nudix hydrolase, protein glycation",0000-0002-9132-0223,"Tecnologias CAplicadas","António Manuel Gouveia Carloto",WBS,N/A,N/A,N/A
WOS:000241589800010,"The specific, submicromolar-<i>K</i><sub>m</sub> ADP-ribose pyrophosphatase purified from human placenta is enzymically indistinguishable from recombinant NUDT9 protein, including a selectivity for Mn<SUP>2+</SUP> as activating cation and increase in <i>K</i><sub>m</sub> for ADP-ribose, both elicited by H<sub>2</sub>O<sub>2</sub>",Article,Article,"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS",2006,1760,10,1545-1551,1545,1551,7,"CJB-2453-2022, K-7394-2014, K-6421-2014, FNU-6493-2022, K-6555-2014",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000241589800010&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000241589800010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000241589800010&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0304-4165,undefined,10.1016/j.bbagen.2006.06.003,"adenosine diphosphate ribose, adenosine diphosphate ribose pyrophosphatase, hydrogen peroxide, nudix hydrolase, oxidative stress",0000-0002-9132-0223,"Tecnologias CAplicadas","António Manuel Gouveia Carloto",WBS,N/A,N/A,N/A
WOS:000213668200010,"Relevant statistics for models with commutative orthogonal block structure and unbiased estimator for variance components",Article,Article,"JOURNAL OF INTERDISCIPLINARY MATHEMATICS",2008,11,4,553-564,553,564,12,"H-1231-2016, R-4887-2019, GGN-7076-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000213668200010&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000213668200010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000213668200010&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0972-0502,undefined,10.1080/09720502.2008.10700581,"OBS, COBS, orthogonal designs, unbiased estimator for variance components, mixed models",0000-0002-0077-1249,"Matemática CFisicas","Carla Maria Lopes da Silva Afonso dos Santos",WBS,N/A,N/A,N/A
WOS:000351317300007,"Inference for types and structured families of commutative orthogonal block structures",Article,Article,METRIKA,2015,78,3,337-372,337,372,36,"D-1632-2012, GGN-7076-2022, R-4887-2019, H-1231-2016",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000351317300007&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000351317300007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000351317300007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0026-1335,undefined,10.1007/s00184-014-0506-8,"Commutative orthogonal block structure, Commutative Jordan algebras, Estimation, Mixed linear models",0000-0002-0077-1249,"Matemática CFisicas","Carla Maria Lopes da Silva Afonso dos Santos",WBS,N/A,N/A,N/A
WOS:000389449900097,"Imbedding Linear Regressions in Models for Factor Crossing",Meeting,"Proceedings Paper","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING 2016 (ICCMSE-2016)",2016,1790,undefined,undefined,undefined,undefined,3,"R-4887-2019, H-1231-2016, DTT-2997-2022, AAS-5114-2020, GGN-7076-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000389449900097&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000389449900097&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000389449900097&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0094-243X,undefined,10.1063/1.4968734,"Crossing, Orthogonal partition, Effects and Interactions",0000-0002-0077-1249,"Matemática CFisicas","Carla Maria Lopes da Silva Afonso dos Santos",WBS,N/A,N/A,N/A
WOS:000389449900098,"ANOVA Like Analysis for Structured Families of Stochastic Matrices",Meeting,"Proceedings Paper","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING 2016 (ICCMSE-2016)",2016,1790,undefined,undefined,undefined,undefined,3,"DTT-2997-2022, AAJ-9159-2021, AAS-5114-2020, GGN-7076-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000389449900098&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000389449900098&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000389449900098&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0094-243X,undefined,10.1063/1.4968735,"Stochastic matrices, Structured families, Transversal and longitudinal analysis",0000-0002-0077-1249,"Matemática CFisicas","Carla Maria Lopes da Silva Afonso dos Santos",WBS,N/A,N/A,N/A
WOS:A1993KJ77100018,"REDUCTION OF NITROSOBENZENE BY 2-(ALPHA-HYDROXYETHYL)-3,4-DIMETHYLTHIAZOLIUM SALTS",Article,Article,"JOURNAL OF THE CHEMICAL SOCIETY-CHEMICAL COMMUNICATIONS",1993,undefined,2,133-134,133,134,2,"I-7086-2012, ABE-7033-2021, C-9603-2013, DNE-1099-2022, G-5782-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:A1993KJ77100018&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:A1993KJ77100018&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:A1993KJ77100018&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0022-4936,undefined,10.1039/c39930000133,,,N/A,,WBS,N/A,N/A,N/A
WOS:A1995BE32G00028,"Theoretical mechanistic investigation of asymmetric aziridination by N-aryl-O-acylhydroxylamines",Meeting,"Proceedings Paper","E.C.C.C. 1 COMPUTATIONAL CHEMISTRY",1995,330,undefined,140-144,140,144,3,"ABE-7033-2021, C-9603-2013, JDY-7559-2023, G-5782-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:A1995BE32G00028&DestLinkType=FullRecord&DestApp=WOS_CPL,undefined,undefined,,0094-243X,1-56396-457-0,undefined,,,N/A,,WBS,N/A,N/A,N/A
WOS:000189095100008,"A multiple objective mixed integer linear programming model for power generation expansion planning",Article,Article,ENERGY,2004,29,4,613-627,613,627,15,"F-8517-2011, I-1227-2012, M-2410-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000189095100008&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000189095100008&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000189095100008&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0360-5442,undefined,10.1016/j.energy.2003.10.012,,,N/A,,WBS,N/A,N/A,N/A
WOS:000243744900007,"Tool support for aspect-oriented requirements",Meeting,"Proceedings Paper","Proceedings of the 10th IASTED International Conference on Software Engineering and Applications",2006,undefined,undefined,38-44,38,44,7,"M-2410-2019, F-4770-2011, G-2108-2011",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000243744900007&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000243744900007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000243744900007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,undefined,978-0-88986-642-3,undefined,"aspect-oriented requirements, tool",0000-0002-7556-4367,Engenharia,"Isabel Sofia Sousa Brito",WBS,N/A,N/A,N/A
WOS:000224440600003,"Test of a small domestic boiler using different pellets","Article, Meeting","Article, Proceedings Paper","BIOMASS & BIOENERGY",2004,27,6,531-539,531,539,9,"DTV-1835-2022, G-5329-2010, FYF-2204-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000224440600003&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000224440600003&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000224440600003&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0961-9534,undefined,10.1016/j.biombioe.2003.07.002,"pellets, emissions, boilers, efficiency, fixed bed, combustion",0000-0003-1796-9013,"Artes H Desporto","João Filipe Dias Medeira Rodrigues",WBS,N/A,N/A,N/A
WOS:000233581700029,"Performance comparison of computational retina models",Meeting,"Proceedings Paper","PROCEEDINGS OF THE FIFTH IASTED INTERNATIONAL CONFERENCE ON VISUALIZATION, IMAGING, AND IMAGE PROCESSING",2005,undefined,undefined,156-161,156,161,6,"FXZ-2487-2022, B-2749-2009",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000233581700029&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000233581700029&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000233581700029&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,undefined,0-88986-528-0,undefined,"retina models, computational models, visual image processing, effor measures",,N/A,,WBS,N/A,N/A,N/A
WOS:000236371700087,"Parameters identification with the Multiple Model Adaptive Estimation (MMAE) algorithm",Meeting,"Proceedings Paper","Proceedings of the 25th IASTED International Conference on Modelling, Identification, and Control",2006,undefined,undefined,501-506,501,506,6,FXZ-2487-2022,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000236371700087&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000236371700087&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000236371700087&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,undefined,0-88986-549-3,undefined,"system identification, Kalman filters, multiple model adaptive estimation, parameter estimation",,N/A,,WBS,N/A,N/A,N/A
