id,titulo,tipo,fonteTitulo,ano_publicacao,mes_publicacao,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores_nome,autores_orcid,autor_IpBeja,orcid_autor_IpBeja,departamento,origem,financiador,repositorioIPBeja,apoiosPublicaçao
WOS:000446604500050,"Biodiesel by Transesterification of Rapeseed Oil Using Ultrasound: A Kinetic Study of Base-Catalysed Reactions",Article,ENERGIES,2018,SEP,2018-09-01,11,9,undefined,undefined,undefined,13,10.3390/en11092229,"Maria Encinar, Jose; Pardal, Ana; Sanchez, Nuria; Nogales, Sergio","GCJ-5992-2022; DYO-3019-2022; DWK-3430-2022; O-6456-2014",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000790340500023,"Models and Politics of Cares of the Elderly in the Home","Proceedings Paper","GERONTECHNOLOGY, IWOG 2018",2019,undefined,2019-01-01,1016,undefined,257-268,257,268,12,10.1007/978-3-030-16028-9_23,"Ferreira, Rogerio Ferrinho; Nunes, Ana Clara; Canhestro, Ana Maria","AAQ-9285-2020; GZL-2698-2022; LBS-7239-2024",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000463663200014,"Evaluation of Energy Production Through Solar Photovoltaic Technology for Self-Consumption in the Parish Council of Sao Bartolomeu de Messines, Portugal - Preliminary Study",Article,"JOURNAL OF ECOLOGICAL ENGINEERING",2019,MAY,2019-05-01,20,5,111-120,111,120,10,10.12911/22998993/105336,"Pardal, Ana; Pinto, Jose; Fernandes, Joana","DYO-3019-2022; GBL-8200-2022; LWP-2708-2024",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000468021100018,"Combined effects of irrigation management and nitrogen fertilization on soft wheat productive responses under Mediterranean conditions","Proceedings Paper","FIRST INTERNATIONAL SCIENTIFIC CONFERENCE ON ECOLOGICAL AND ENVIRONMENTAL ENGINEERING 2018",2019,undefined,2019-01-01,86,undefined,undefined,undefined,undefined,4,10.1051/e3sconf/20198600019,"Oliveira, Patricia; Patanita, Manuel; Dores, Jose; Boteta, Luis; Palma, Jose Ferro; Patanita, Maria Isabel; Guerreiro, Isabel; Penacho, Jose; Costa, Maria Natividade; Rosa, Elizabete; Tomaz, Alexandra","KML-5585-2024; DYR-8555-2022; DVJ-4304-2022; CFT-3808-2022; BBD-1692-2021; FQG-9196-2022; EXU-5394-2022; DMM-9647-2022; CKZ-1472-2022; DPN-9705-2022; I-5402-2019",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000498270000075,"Water Regime and Nitrogen Management to Cope with Wheat Yield Variability under the Mediterranean Conditions of Southern Portugal",Article,PLANTS-BASEL,2019,OCT,2019-10-01,8,10,undefined,undefined,undefined,15,10.3390/plants8100429,"Patanita, Manuel; Tomaz, Alexandra; Ramos, Tiago; Oliveira, Patricia; Boteta, Luis; Dores, Jose","DYR-8555-2022; I-5402-2019; FTW-9732-2022; KML-5585-2024; CFT-3808-2022; DVJ-4304-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000513180900001,"Spatial and temporal dynamics of irrigation water quality under drought conditions in a large reservoir in Southern Portugal",Article,"ENVIRONMENTAL MONITORING AND ASSESSMENT",2020,"JAN 6",2020-01-06,192,2,undefined,undefined,undefined,17,10.1007/s10661-019-8048-1,"Tomaz, Alexandra; Palma, Patricia; Fialho, Sofia; Lima, Ana; Alvarenga, Paula; Potes, Miguel; Salgado, Rui","I-5402-2019; G-4112-2016; CPF-5095-2022; KTM-9518-2024; K-9083-2017; DYJ-9862-2022; B-7588-2011",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000562856000014,"Soil salinity risk in a climate change scenario and its effect on crop yield","Article, Book Chapter","CLIMATE CHANGE AND SOIL INTERACTIONS",2020,undefined,2020-01-01,undefined,undefined,351-396,351,396,46,10.1016/B978-0-12-818032-7.00013-8,"Tomaz, Alexandra; Palma, Patricia; Alvarenga, Paula; Goncalves, Maria Conceicao","I-5402-2019; G-4112-2016; K-9083-2017; M-4021-2013",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000599500400012,"The physio-chemical conditions of surface and groundwater resources in water scarce areas - how droughts affect ions migration",Article,"DESALINATION AND WATER TREATMENT",2020,DEC,2020-12-01,207,undefined,122-136,122,136,15,10.5004/dwt.2020.26560,"Operacz, Agnieszka; Kurek, Karolina; Bugajski, Piotr; Pardal, Ana; Simoes, Isabel; Imaginario, Maria J.; Castanheira, Ivone; Raposo, Maria; Almeida, Adelaide","M-3348-2016; AAB-1315-2022; AAV-3137-2020; DYO-3019-2022; FWI-4935-2022; FDK-6143-2022; ESF-7123-2022; I-8820-2012; GBZ-5151-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000703480000010,"Effects of cover crops and irrigation on 'Tempranillo' grapevine and berry physiology: an experiment under the Mediterranean conditions of Southern Portugal",Article,"OENO ONE",2021,undefined,2021-01-01,55,3,191-208,191,208,18,10.20870/oeno-one.2021.55.3.4629,"Tomaz, Alexandra; Martinez, Jose Coleto; Pacheco, Carlos Arruda","I-5402-2019; JIP-6876-2023; HHB-6549-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000707022500007,"Yield, technological quality and water footprints of wheat under Mediterranean climate conditions: A field experiment to evaluate the effects of irrigation and nitrogen fertilization strategies",Article,"AGRICULTURAL WATER MANAGEMENT",2021,"DEC 1",2021-12-01,258,undefined,undefined,undefined,undefined,14,10.1016/j.agwat.2021.107214,"Tomaz, Alexandra; Palma, Jose Ferro; Ramos, Tiago; Costa, Maria Natividade; Rosa, Elizabete; Santos, Marta; Boteta, Luis; Dores, Jose; Patanita, Manuel","I-5402-2019; FPK-6581-2022; FTW-9732-2022; CKZ-1472-2022; DPN-9705-2022; FTM-8518-2022; CFT-3808-2022; DVJ-4304-2022; DYR-8555-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
